,Dis No,Year,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,River Basin,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,"Reconstruction Costs, Adjusted ('000 US$)","Insured Damages, Adjusted ('000 US$)","Total Damages, Adjusted ('000 US$)",Geo Locations,Start Date,End Date,Location List,mentions_1,mentions_2,mentions_3
44,2016-0118-CHL,2016.0,,Natural,Hydrological,Flood,Riverine flood,,,Chile,CHL,South America,Americas,Metropolitana district (Santiago province),Heavy rains,,,,,,,Km2,,,"Maipo, Mapocho, Angostura, Rapel, Cachapoal, Tinguiririca rivers",12.0,100.0,,,100.0,,,121936.0,Santiago (Adm2). ,2016-04-15,2016-04-18,"['Metropolitana district', 'Santiago province']",0.0,0.0,20.0
45,2016-0209-CHN,2016.0,,Natural,Meteorological,Storm,Convective storm,Tornado,,China,CHN,Eastern Asia,Asia,"Jiangsu Sheng, Xinjinag Uygur Zizhiqu, Jilin Sheng, Liaoning Sheng, Beijing Shi provinces",,,,,,,125.0,Kph,,,,102.0,1000.0,45000.0,,46000.0,,,368246.0,"Beijing Shi, Jiangsu Sheng, Jilin Sheng, Liaoning Sheng, Xinjiang Uygur Zizhiqu (Adm1). ",2016-06-24,2016-06-24,"['Jiangsu Sheng', 'Xinjinag Uygur Zizhiqu', 'Jilin Sheng', 'Liaoning Sheng', 'Beijing Shi provinces']",0.0,0.0,33.0
46,2016-0038-CHN,2016.0,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Guangdong Sheng, Fujian Sheng, Guangxi Zhuangzu Zizhiqu provinces",Heavy rains,,,,,,,Km2,,,Yangtze river,11.0,,,3000.0,3000.0,,,24387.0,"Fujian Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu (Adm1). ",2016-01-26,2016-01-29,"['Guangdong Sheng', 'Fujian Sheng', 'Guangxi Zhuangzu Zizhiqu provinces']",0.0,0.0,28.0
47,2016-0194-CHN,2016.0,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Sichuan Sheng, Guizhou Sheng, Guangxi Zhuangzu Zizhiqu, Hunan Sheng, Jiangxi Sheng, Guangdong Sheng, Fujian Sheng provinces",,,,,,,,Km2,,,Yangtze,12.0,,35400.0,8700.0,44100.0,,,545053.0,"Fujian Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Hunan Sheng, Jiangxi Sheng, Sichuan Sheng (Adm1). ",2016-05-18,2016-05-21,"['Sichuan Sheng', 'Guizhou Sheng', 'Guangxi Zhuangzu Zizhiqu', 'Hunan Sheng', 'Jiangxi Sheng', 'Guangdong Sheng', 'Fujian Sheng provinces']",0.0,0.0,11.0
48,2016-0250-CHN,2016.0,,Natural,Hydrological,Landslide,Landslide,,,China,CHN,Eastern Asia,Asia,"Pianpo village (Bijie district, Guizhou Sheng province)",Heavy rains,,,,,,,,,,,22.0,7.0,,,7.0,,,,Bijie (Adm2). ,2016-07-01,2016-07-01,"['Pianpo village', 'Bijie district', 'Guizhou Sheng province']",0.0,0.0,12.0
49,2016-0255-CHN,2016.0,,Natural,Hydrological,Landslide,Landslide,,,China,CHN,Eastern Asia,Asia,Kunlun mountain (Xinjiang Uygur Zizhiqu province),Heavy rains,,,,,,,,,,,35.0,,,,,,,,Xinjiang Uygur Zizhiqu (Adm1). ,2016-07-07,2016-07-07,"['Kunlun mountain', 'Xinjiang Uygur Zizhiqu province']",0.0,4.0,36.0
50,2016-0235-CHN,2016.0,,Natural,Meteorological,Storm,Convective storm,,,China,CHN,Eastern Asia,Asia,"Yancheng city (Jiangsu Sheng province), Xinjinag Uygur Zizhiqu, Jilin Sheng, Liaoning Sheng, Beijing Shi provinces",,,,,,,,Kph,,,,99.0,846.0,45000.0,,45846.0,,,609679.0,"Beijing Shi, Jiangsu Sheng, Jilin Sheng, Liaoning Sheng, Xinjiang Uygur Zizhiqu (Adm1). ",2016-06-16,2016-06-23,"['Yancheng city', 'Jiangsu Sheng province', 'Xinjinag Uygur Zizhiqu', 'Jilin Sheng', 'Liaoning Sheng', 'Beijing Shi provinces']",0.0,0.0,1.0
51,2016-0023-CHN,2016.0,,Natural,Meteorological,Extreme temperature ,Cold wave,,,China,CHN,Eastern Asia,Asia,"Yakeshi city (Hulunbuir district, Nei Mongol Zizhiqu province), Harbin district (Heilongjiang Sheng province), Mohe area (Daxing'anling district, Heilongjiang province), Changsha district (Hunan Sheng province), Changchun district (Jilin Sheng province), Zhejiang Sheng, Beijing Shi, Hainan Sheng, Shanghai Shi provinces",,,,,,,-41.0,°C,,,,5.0,,,,,,,1950974.0,"Beijing Shi, Hainan Sheng, Shanghai Shi, Zhejiang Sheng (Adm1). Changchun, Changsha, Daxing'anling, Harbin, Hulunbuir (Adm2). ",2016-01-20,2016-01-26,"['Yakeshi city', 'Hulunbuir district', 'Nei Mongol Zizhiqu province', 'Harbin district', 'Heilongjiang Sheng province', 'Mohe area', ""Daxing'anling district"", 'Heilongjiang province', 'Changsha district', 'Hunan Sheng province', 'Changchun district', 'Jilin Sheng province', 'Zhejiang Sheng', 'Beijing Shi', 'Hainan Sheng', 'Shanghai Shi provinces']",0.0,0.0,42.0
52,2016-0198-CHN,2016.0,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,"Sichuan Sheng, Yunnan Sheng, Guizhou Sheng, Hunan Sheng, Hubei Sheng, Anhui Sheng, Zhejiang Sheng provinces",Heavy seasonal rains,,,,,,,Km2,,,,17.0,,,,,,,84136.0,"Anhui Sheng, Guizhou Sheng, Hubei Sheng, Hunan Sheng, Sichuan Sheng, Yunnan Sheng, Zhejiang Sheng (Adm1). ",2016-05-21,2016-05-29,"['Sichuan Sheng', 'Yunnan Sheng', 'Guizhou Sheng', 'Hunan Sheng', 'Hubei Sheng', 'Anhui Sheng', 'Zhejiang Sheng provinces']",0.0,0.0,24.0
53,2016-0233-CHN,2016.0,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,"Sichuan Sheng, Yunnan Sheng, Chongqing Shi, Guizhou Sheng, Guangxi Zhuangzu Zizhiqu, Hunan Sheng, Anhui Sheng, Jiangxi Sheng, Guangdong Sheng, Fujian Sheng, Zhejiang Sheng provinces",,,,,,,,Km2,,,Yangtze river,25.0,,215400.0,39000.0,254400.0,,,809654.0,"Anhui Sheng, Chongqing Shi, Fujian Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Hunan Sheng, Jiangxi Sheng, Sichuan Sheng, Yunnan Sheng, Zhejiang Sheng (Adm1). ",2016-06-09,2016-06-16,"['Sichuan Sheng', 'Yunnan Sheng', 'Chongqing Shi', 'Guizhou Sheng', 'Guangxi Zhuangzu Zizhiqu', 'Hunan Sheng', 'Anhui Sheng', 'Jiangxi Sheng', 'Guangdong Sheng', 'Fujian Sheng', 'Zhejiang Sheng provinces']",0.0,0.0,24.0
